Dist;Date;Year;RegionName;Region;SiteName;Site;SiteInd;Lat;Lon;GenNr;Length;Box;LociN;Origin;Score ;Transport;WavExp;CurrA;CurrJyll;SdJyll;CurrVik;SdVik
 7272;9/16/2000;2000;Torvefjorden;1;Risøya;5;5;58.06379377;7.778173007;GMS-030;13;1;26;2;99.944;0.68;0.07;0.36;9.8;23.1;14.3;20.9
 7272;9/16/2000;2000;Torvefjorden;1;Risøya;5;5;58.06379377;7.778173007;GMS-031;10.5;1;26;1;99.313;0.68;0.07;0.36;9.8;23.1;14.3;20.9
 7272;9/16/2000;2000;Torvefjorden;1;Risøya;5;5;58.06379377;7.778173007;GMS-032;12.9;1;25;2;100;0.68;0.07;0.36;9.8;23.1;14.3;20.9
 7272;9/16/2000;2000;Torvefjorden;1;Risøya;5;5;58.06379377;7.778173007;GMS-033;8.8;1;25;1;100;0.68;0.07;0.36;9.8;23.1;14.3;20.9
 7272;9/16/2000;2000;Torvefjorden;1;Risøya;5;5;58.06379377;7.778173007;GMS-034;9;1;26;1;100;0.68;0.07;0.36;9.8;23.1;14.3;20.9
 9454;9/18/2000;2000;Steindalsfjorden;3;Østervig odde;39;39;58.20418132;8.278010055;GMS-035;8.4;1;26;1;100;0.68;0.05;0.14;9.8;23.1;14.3;20.9
 9454;9/18/2000;2000;Steindalsfjorden;3;Østervig odde;39;39;58.20418132;8.278010055;GMS-036;9.2;1;26;1;79.827;0.68;0.05;0.14;9.8;23.1;14.3;20.9
 9454;9/18/2000;2000;Steindalsfjorden;3;Østervig odde;39;39;58.20418132;8.278010055;GMS-037;8.5;1;26;2;100;0.68;0.05;0.14;9.8;23.1;14.3;20.9
 9454;9/18/2000;2000;Steindalsfjorden;3;Østervig odde;39;39;58.20418132;8.278010055;GMS-038;8;1;26;1;100;0.68;0.05;0.14;9.8;23.1;14.3;20.9
 9454;9/18/2000;2000;Steindalsfjorden;3;Østervig odde;39;39;58.20418132;8.278010055;GMS-039;6.9;1;25;1;100;0.68;0.05;0.14;9.8;23.1;14.3;20.9
 3302;9/20/2000;2000;Flødevigen;5;Lillehavn;65;65;58.42363333;8.753416667;GMS-040;11.3;1;26;2;100;0.68;0.05;0.74;9.8;23.1;14.3;20.9
 3302;9/20/2000;2000;Flødevigen;5;Lillehavn;65;65;58.42363333;8.753416667;GMS-041;11.7;1;24;2;84.429;0.68;0.05;0.74;9.8;23.1;14.3;20.9
 3302;9/20/2000;2000;Flødevigen;5;Lillehavn;65;65;58.42363333;8.753416667;GMS-042;11.4;1;24;2;99.975;0.68;0.05;0.74;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-043;9;1;26;2;64.141;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-044;9.6;1;26;1;98.353;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-045;9.8;1;26;1;100;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-046;9.6;1;26;1;99.994;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-047;9.5;1;26;1;79.577;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-048;10.1;1;26;2;99.969;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-049;9.1;1;25;1;100;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-050;8.5;1;23;2;94.922;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-051;11;1;25;1;100;0.68;0.04;0.61;9.8;23.1;14.3;20.9
